,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new_cases_1,new_cases_2,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
97820,ZA5,KwaZulu-Natal,,,2020-11-22,2020-11-22,23,23,23,3252084.346302436,982565.4622623052,177825,20201122,20201122,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,,,,,,0.07735186107982292,0.5555555555555556,,,133.0,,1,1,1,0,1,0,0,0,0
97822,ZA7,Gauteng,ZA6,North West,2020-11-22,2020-11-22,686,678,659,135873393.51314807,55804026.68058224,9088452,20201122,20201122,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.6706237180439658,1.0,-0.04677388157695324,0.1111111111111111,180.0,27.0,1,1,1,0,1,0,0,0,0
97823,ZA7,Gauteng,ZA8,Mpumalanga,2020-11-22,2020-11-22,310,310,298,106461663.01692285,44008654.015515015,4580973,20201122,20201122,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.6706237180439658,1.0,0.0523010419666447,0.4444444444444444,180.0,48.0,1,1,1,0,1,0,0,0,0
97824,ZA2,Eastern Cape,ZA7,Gauteng,2020-11-22,2020-11-23,16,16,16,29386474.379254024,13953425.034701692,658904,20201122,20201123,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,-0.04666754827373582,0.2222222222222222,0.6706237180439658,1.0,1199.0,128.0,1,1,1,0,1,0,0,0,0
97825,ZA1,Western Cape,ZA1,Western Cape,2020-11-22,2020-11-22,39497,23117,16791,2598259933.385654,652103447.4982157,254591092,20201122,20201122,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.48495156727992644,0.8888888888888888,0.48495156727992644,0.8888888888888888,597.0,597.0,1,1,1,0,1,0,0,0,0
97826,ZA2,Eastern Cape,ZA4,Free State,2020-11-22,2020-11-22,18,18,17,11513930.533359757,5289218.746787192,373984,20201122,20201122,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,-0.04666754827373582,0.2222222222222222,0.2248492570676798,0.7777777777777778,1199.0,36.0,1,1,1,0,1,0,0,0,0
97827,ZA9,Limpopo,ZA4,Free State,2020-11-22,2020-11-22,3,3,3,3040385.272331072,1511527.2732836548,71458,20201122,20201122,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,-0.020299216875639643,0.3333333333333333,0.2248492570676798,0.7777777777777778,27.0,36.0,1,1,1,0,1,0,0,0,0
97828,ZA6,North West,ZA7,Gauteng,2020-11-22,2020-11-22,876,870,753,167868912.15527782,73936488.01114279,10362845,20201122,20201122,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,-0.04677388157695324,0.1111111111111111,0.6706237180439658,1.0,27.0,180.0,1,1,1,0,1,0,0,0,0
97829,ZA4,Free State,ZA8,Mpumalanga,2020-11-22,2020-11-23,7,7,7,5623227.333654219,2982301.4410202424,412407,20201122,20201123,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.2248492570676798,0.7777777777777778,0.0523010419666447,0.4444444444444444,36.0,14.0,1,1,1,0,1,0,0,0,0
97830,ZA7,Gauteng,ZA5,KwaZulu-Natal,2020-11-22,2020-11-23,34,34,34,37212517.5214813,17840909.134522922,1420553,20201122,20201123,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.6706237180439658,1.0,0.07735186107982292,0.5555555555555556,180.0,96.0,1,1,1,0,1,0,0,0,0
97831,ZA9,Limpopo,ZA4,Free State,2020-11-22,2020-11-24,2,2,2,2001285.351350105,1038956.1984562448,333986,20201122,20201124,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,-0.020299216875639643,0.3333333333333333,0.2248492570676798,0.7777777777777778,27.0,16.0,1,1,1,0,1,0,0,0,0
97832,ZA9,Limpopo,ZA7,Gauteng,2020-11-22,2020-11-23,47,47,47,24197574.919137325,10199029.297561642,2225562,20201122,20201123,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,-0.020299216875639643,0.3333333333333333,0.6706237180439658,1.0,27.0,128.0,1,1,1,0,1,0,0,0,0
97833,ZA7,Gauteng,ZA1,Western Cape,2020-11-22,2020-11-23,31,31,31,74093814.04544243,39474410.972178064,1254245,20201122,20201123,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.6706237180439658,1.0,0.48495156727992644,0.8888888888888888,180.0,470.0,1,1,1,0,1,0,0,0,0
97834,ZA8,Mpumalanga,ZA4,Free State,2020-11-22,2020-11-22,14,14,14,9924282.398953538,4319539.703671319,261036,20201122,20201122,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.0523010419666447,0.4444444444444444,0.2248492570676798,0.7777777777777778,48.0,36.0,1,1,1,0,1,0,0,0,0
97835,ZA6,North West,ZA3,Nothern Cape,2020-11-22,2020-11-22,25,25,25,13056784.239683772,5838576.759457491,326765,20201122,20201122,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,-0.04677388157695324,0.1111111111111111,0.09958456723393624,0.6666666666666666,27.0,23.0,1,1,1,0,1,0,0,0,0
97836,ZA7,Gauteng,ZA4,Free State,2020-11-22,2020-11-22,293,292,283,80062701.03379041,32615155.72922744,3989489,20201122,20201122,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.6706237180439658,1.0,0.2248492570676798,0.7777777777777778,180.0,36.0,1,1,1,0,1,0,0,0,0
97837,ZA1,Western Cape,ZA1,Western Cape,2020-11-22,2020-11-24,8,8,8,2463190.98317209,313931.1344469438,1222345,20201122,20201124,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.48495156727992644,0.8888888888888888,0.48495156727992644,0.8888888888888888,597.0,652.0,1,1,1,0,1,0,0,0,0
97838,ZA7,Gauteng,ZA6,North West,2020-11-22,2020-11-23,45,45,45,13344943.019051906,4874647.627237618,1736976,20201122,20201123,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.6706237180439658,1.0,-0.04677388157695324,0.1111111111111111,180.0,3.0,1,1,1,0,1,0,0,0,0
97839,ZA4,Free State,ZA7,Gauteng,2020-11-22,2020-11-22,463,456,432,154396253.692717,64581046.63685176,6441514,20201122,20201122,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2248492570676798,0.7777777777777778,0.6706237180439658,1.0,36.0,180.0,1,1,1,0,1,0,0,0,0
97840,ZA1,Western Cape,ZA3,Nothern Cape,2020-11-22,2020-11-23,5,5,5,8433286.617685134,3311161.804628685,402951,20201122,20201123,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.48495156727992644,0.8888888888888888,0.09958456723393624,0.6666666666666666,597.0,16.0,1,1,1,0,1,0,0,0,0
97841,ZA7,Gauteng,ZA5,KwaZulu-Natal,2020-11-22,2020-11-29,1,1,1,1068717.6235323625,517560.4476077727,597230,20201122,20201129,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.6706237180439658,1.0,0.07735186107982292,0.5555555555555556,180.0,164.0,1,1,1,0,1,0,0,0,0
97842,ZA1,Western Cape,ZA9,Limpopo,2020-11-22,2020-11-22,1,1,1,3434796.7273803665,1794983.8880642743,33078,20201122,20201122,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.48495156727992644,0.8888888888888888,-0.020299216875639643,0.3333333333333333,597.0,27.0,1,1,1,0,1,0,0,0,0
97843,ZA8,Mpumalanga,ZA9,Limpopo,2020-11-22,2020-11-22,111,111,107,34078413.783252925,11073508.799236652,1383550,20201122,20201122,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.0523010419666447,0.4444444444444444,-0.020299216875639643,0.3333333333333333,48.0,27.0,1,1,1,0,1,0,0,0,0
97844,ZA1,Western Cape,ZA5,KwaZulu-Natal,2020-11-22,2020-11-22,13,13,13,31110841.88059312,16775442.06958244,257986,20201122,20201122,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.48495156727992644,0.8888888888888888,0.07735186107982292,0.5555555555555556,597.0,133.0,1,1,1,0,1,0,0,0,0
97845,ZA2,Eastern Cape,ZA5,KwaZulu-Natal,2020-11-22,2020-11-22,23,23,23,14799845.672009973,5682892.892553878,412775,20201122,20201122,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,-0.04666754827373582,0.2222222222222222,0.07735186107982292,0.5555555555555556,1199.0,133.0,1,1,1,0,1,0,0,0,0
97846,ZA1,Western Cape,ZA2,Eastern Cape,2020-11-22,2020-11-22,54,54,54,40511145.62090442,19205247.328020822,1197657,20201122,20201122,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.48495156727992644,0.8888888888888888,-0.04666754827373582,0.2222222222222222,597.0,1199.0,1,1,1,0,1,0,0,0,0
97847,ZA5,KwaZulu-Natal,ZA1,Western Cape,2020-11-22,2020-11-23,5,5,5,12265259.968242684,6466971.358602121,204514,20201122,20201123,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.07735186107982292,0.5555555555555556,0.48495156727992644,0.8888888888888888,133.0,470.0,1,1,1,0,1,0,0,0,0
97848,ZA6,North West,ZA9,Limpopo,2020-11-22,2020-11-22,22,22,22,11964430.757766116,4536147.429795596,348487,20201122,20201122,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,-0.04677388157695324,0.1111111111111111,-0.020299216875639643,0.3333333333333333,27.0,27.0,1,1,1,0,1,0,0,0,0
97849,ZA4,Free State,ZA8,Mpumalanga,2020-11-22,2020-11-22,23,23,23,17052652.91352947,7050450.4903736,458568,20201122,20201122,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.2248492570676798,0.7777777777777778,0.0523010419666447,0.4444444444444444,36.0,48.0,1,1,1,0,1,0,0,0,0
97850,ZA1,Western Cape,ZA7,Gauteng,2020-11-22,2020-11-22,85,85,85,218839271.5607399,107103538.76369692,2051765,20201122,20201122,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.48495156727992644,0.8888888888888888,0.6706237180439658,1.0,597.0,180.0,1,1,1,0,1,0,0,0,0
97851,ZA6,North West,ZA7,Gauteng,2020-11-22,2020-11-28,2,2,2,309480.17231107946,192269.7867050547,966574,20201122,20201128,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,-0.04677388157695324,0.1111111111111111,0.6706237180439658,1.0,27.0,267.0,1,1,1,0,1,0,0,0,0
97852,ZA6,North West,ZA4,Free State,2020-11-22,2020-11-23,18,18,18,5998572.277424499,2944132.396394996,705914,20201122,20201123,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,-0.04677388157695324,0.1111111111111111,0.2248492570676798,0.7777777777777778,27.0,30.0,1,1,1,0,1,0,0,0,0
97853,ZA8,Mpumalanga,ZA9,Limpopo,2020-11-22,2020-11-28,1,1,1,494592.0710916376,402540.0402667687,536794,20201122,20201128,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.0523010419666447,0.4444444444444444,-0.020299216875639643,0.3333333333333333,48.0,30.0,1,1,1,0,1,0,0,0,0
97854,ZA7,Gauteng,ZA7,Gauteng,2020-11-22,2020-11-24,1,1,1,6701.2252467264325,3084.8774492980338,239183,20201122,20201124,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.6706237180439658,1.0,0.6706237180439658,1.0,180.0,179.0,1,1,1,0,1,0,0,0,0
97855,ZA5,KwaZulu-Natal,ZA6,North West,2020-11-22,2020-11-23,2,2,2,2547455.103095589,1266456.914459533,118757,20201122,20201123,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.07735186107982292,0.5555555555555556,-0.04677388157695324,0.1111111111111111,133.0,3.0,1,1,1,0,1,0,0,0,0
97856,ZA8,Mpumalanga,ZA8,Mpumalanga,2020-11-22,2020-11-22,7597,4556,3393,522175372.6355317,113686581.33978656,52441790,20201122,20201122,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.0523010419666447,0.4444444444444444,0.0523010419666447,0.4444444444444444,48.0,48.0,1,1,1,0,1,0,0,0,0
97857,ZA8,Mpumalanga,ZA7,Gauteng,2020-11-22,2020-11-23,53,53,53,19173666.057434987,8427823.159131471,2166155,20201122,20201123,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.0523010419666447,0.4444444444444444,0.6706237180439658,1.0,48.0,128.0,1,1,1,0,1,0,0,0,0
97858,ZA3,Nothern Cape,ZA4,Free State,2020-11-22,2020-11-22,38,38,38,20316970.58995441,7973640.179524079,620661,20201122,20201122,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.09958456723393624,0.6666666666666666,0.2248492570676798,0.7777777777777778,23.0,36.0,1,1,1,0,1,0,0,0,0
97859,ZA7,Gauteng,ZA7,Gauteng,2020-11-22,2020-11-22,72552,43637,32110,2774998665.218625,852017608.8009785,470462677,20201122,20201122,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.6706237180439658,1.0,0.6706237180439658,1.0,180.0,180.0,1,1,1,0,1,0,0,0,0
97860,ZA9,Limpopo,ZA6,North West,2020-11-22,2020-11-22,38,38,37,14208602.77861349,6804654.468072996,729788,20201122,20201122,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,-0.020299216875639643,0.3333333333333333,-0.04677388157695324,0.1111111111111111,27.0,27.0,1,1,1,0,1,0,0,0,0
97861,ZA5,KwaZulu-Natal,ZA8,Mpumalanga,2020-11-22,2020-11-22,39,39,39,25780573.000625428,12055849.98207363,767871,20201122,20201122,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.07735186107982292,0.5555555555555556,0.0523010419666447,0.4444444444444444,133.0,48.0,1,1,1,0,1,0,0,0,0
97862,ZA6,North West,ZA6,North West,2020-11-22,2020-11-22,6075,3809,2780,331855926.10796285,82820312.66686098,40471084,20201122,20201122,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,-0.04677388157695324,0.1111111111111111,-0.04677388157695324,0.1111111111111111,27.0,27.0,1,1,1,0,1,0,0,0,0
97863,ZA4,Free State,ZA4,Free State,2020-11-22,2020-11-23,875,875,875,47639810.882648245,24521645.606910143,38810797,20201122,20201123,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2248492570676798,0.7777777777777778,0.2248492570676798,0.7777777777777778,36.0,30.0,1,1,1,0,1,0,0,0,0
97864,ZA3,Nothern Cape,ZA1,Western Cape,2020-11-22,2020-11-22,24,24,24,36679989.62194646,11044684.07063725,636869,20201122,20201122,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.09958456723393624,0.6666666666666666,0.48495156727992644,0.8888888888888888,23.0,597.0,1,1,1,0,1,0,0,0,0
97865,ZA4,Free State,ZA3,Nothern Cape,2020-11-22,2020-11-25,1,1,1,645832.1191724215,305719.3347805536,308661,20201122,20201125,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.2248492570676798,0.7777777777777778,0.09958456723393624,0.6666666666666666,36.0,41.0,1,1,1,0,1,0,0,0,0
97866,ZA6,North West,ZA6,North West,2020-11-22,2020-11-24,3,3,3,1552694.6371451598,552016.337883536,349576,20201122,20201124,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,-0.04677388157695324,0.1111111111111111,-0.04677388157695324,0.1111111111111111,27.0,40.0,1,1,1,0,1,0,0,0,0
97867,ZA2,Eastern Cape,ZA6,North West,2020-11-22,2020-11-22,1,1,1,1107060.1614220422,448244.2498628537,24958,20201122,20201122,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,-0.04666754827373582,0.2222222222222222,-0.04677388157695324,0.1111111111111111,1199.0,27.0,1,1,1,0,1,0,0,0,0
97868,ZA1,Western Cape,ZA1,Western Cape,2020-11-22,2020-11-23,4349,4348,4347,226479024.2140529,77730919.0426448,182830383,20201122,20201123,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.48495156727992644,0.8888888888888888,0.48495156727992644,0.8888888888888888,597.0,470.0,1,1,1,0,1,0,0,0,0
97869,ZA2,Eastern Cape,ZA2,Eastern Cape,2020-11-22,2020-11-22,8834,5141,3819,569552399.6362652,134781052.49917987,63321612,20201122,20201122,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,-0.04666754827373582,0.2222222222222222,-0.04666754827373582,0.2222222222222222,1199.0,1199.0,1,1,1,0,1,0,0,0,0
97870,ZA8,Mpumalanga,ZA1,Western Cape,2020-11-22,2020-11-29,1,1,1,1300183.01533836,1300154.2565423804,670904,20201122,20201129,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.0523010419666447,0.4444444444444444,0.48495156727992644,0.8888888888888888,48.0,948.0,1,1,1,0,1,0,0,0,0
97871,ZA4,Free State,ZA4,Free State,2020-11-22,2020-11-22,6510,4016,2986,366062643.5235066,92731590.11545534,41494098,20201122,20201122,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2248492570676798,0.7777777777777778,0.2248492570676798,0.7777777777777778,36.0,36.0,1,1,1,0,1,0,0,0,0
97872,ZA7,Gauteng,ZA3,Nothern Cape,2020-11-22,2020-11-23,2,2,2,2428001.1091162823,1123482.1993005453,90332,20201122,20201123,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.6706237180439658,1.0,0.09958456723393624,0.6666666666666666,180.0,16.0,1,1,1,0,1,0,0,0,0
